id;code;name;created_by;created_date;last_modified_by;last_modified_date;deleted
1;info-media;technologies;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;Georgia XS;e-services circuit;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;Solutions;deposit Green;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;redundant;matrix program Swaziland;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;navigate p;Tasty Engineer Syrian;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;Fresh Refi;Analyst;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;Games Plas;access;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;asymmetric;New;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;Berkshire;Program Colombia;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;Soap;connecting empower;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
