id;name;code;created_by;created_date;last_modified_by;last_modified_date;deleted
1;PCI;val;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;Fantastic mobile Hampshir;Cot;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;state;Fan;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;reboot program grow;lav;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;Oregon;cap;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;Squares index deposit;all;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;Shirt withdrawal;hou;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;Exclusive wireless;Reg;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;quantifying;sys;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;Oklahoma Tennessee Delawa;dep;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
