id;name;picture;created_by;created_date;last_modified_by;last_modified_date;deleted
1;firmware;Soft proactive front-end;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;Strategist;capacitor cross-platform Lead;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;Bike circuit;Avon;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;COM Avon;card connecting;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;Palau;Fresh;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;Chair multi-byte;Buckinghamshire virtu;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;falseal
7;calculating;quantify;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;Universal reintermediate;Jersey payment Advanced;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;PNG vertical Afghani;interactive Togo;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;Brunei Guernsey;Movies;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
