id;name;description;created_by;created_date;last_modified_by;last_modified_date;deleted
1;Rustic e-business Intranet;cross-platform Iowa aggregate;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;Corporate;Highway;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;Credit bluetooth deg;Synchronised Cheese;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;driver services;Cambridgeshire;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;bleeding-edge mindshare Gorgeous;Diverse Kyat;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;array throughput Shirt;streamline clicks-and-mortar;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;e-markets Intranet incremental;Comoros magenta;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;Concrete Tactics killer;partnerships;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;optimizing;vertical card empower;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;Borders info-mediaries Oklahoma;hour withdrawal;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
