id;name;description;picture;system_id;created_by;created_date;last_modified_by;last_modified_date;deleted
1;Buckinghamshire orchid ADP;state reboot protocol;Configuration analyzer Serbia;1;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;UIC-Franc Account Gloves;relationships Handcrafted maximize;Health;2;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;Delaware Rubber;Fresh;streamline;3;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;Investor Shoes;gold invoice;invoice Rhode;4;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;Tasty Israel quantify;invoice Gorgeous;Assistant deposit matrices;5;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;Tasty;Agent;hacking;6;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;mission-critical parsing Chips;Barbuda bandwidth;motivating orange Car;7;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;Automotive Mouse;Cambridgeshire protocol;Liaison;8;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;quantify generating;Chicken Granite cutting-edge;Metal Cheese Bedfordshire;9;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;Concrete;Uzbekistan Lead Kip;Creative systematic Licensed;10;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
