id;name;picture;created_by;created_date;last_modified_by;last_modified_date;deleted
1;array;system-worthy Tools SDD;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;Account;Bolivia optical blue;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;override;Dinar;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;indigo;Street;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;copying;navigating;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;Handmade Books;architectures Assistant;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;Cheese Legacy;Borders;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;Functionality;Fish Cotton Accountability;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;driver Locks;Idaho Steel Bypass;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;mesh;payment dot-com;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
