id;code;name;created_by;created_date;last_modified_by;last_modified_date;deleted
1;deposit TCP;mission-critical AGP;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;cyan Washington;deposit drive generate;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;Enterprise-wide;alarm AGP Auto;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;Buckinghamshire;Regional Dominica harness;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;technologies Synergi;Account olive;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;Steel bypass;architectures Berkshire;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;silver local;black driver Credit;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;bypass;Handmade;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;transmit niches Prac;Buckinghamshire;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;Steel;JBOD executive;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
