id;conversion_factor;uom_id;uom_equivalent_id;created_by;created_date;last_modified_by;last_modified_date;deleted
1;91662;1;1;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
2;75837;2;2;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
3;63067;3;3;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
4;82341;4;4;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
5;80547;5;5;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
6;2131;6;6;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
7;49458;7;7;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
8;79453;8;8;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
9;77894;9;9;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
10;48227;10;10;admin;CURRENT_TIMESTAMP;admin;CURRENT_TIMESTAMP;false
